x,b,c,y
-6.42,-48.48,38.08,349.32159999999993
-41.05,17.33,15.83,-695.5664999999998
6.08,-0.81,9.64,4.7152
-15.04,-10.51,49.76,207.83039999999997
22.13,-1.23,-17.58,-44.799899999999994
32.97,47.59,35.95,1604.9923000000001
34.54,-45.62,-19.32,-1595.0348
-45.24,-0.54,37.17,61.59960000000001
-29.79,-34.11,23.02,1039.1569
-6.5,21.06,-0.27,-137.16
-9.82,33.58,6.65,-323.10560000000004
31.1,-41.36,22.08,-1264.2160000000001
-26.91,6.57,24.14,-152.6587
-23.42,-30.27,-20.39,688.5334
-25.87,-20.24,-15.0,508.6088
-44.0,-44.99,4.62,1984.18
23.4,24.49,-29.94,543.1259999999999
39.68,-40.98,-26.14,-1652.2264
-23.68,-6.04,-10.91,132.1172
-8.89,47.74,-2.53,-426.9386
-2.13,-21.52,35.52,81.35759999999999
-37.78,-31.49,-15.29,1174.4022
-41.32,-15.67,15.97,663.4544000000001
-42.4,43.81,35.03,-1822.5140000000001
22.82,43.75,42.55,1040.925
43.35,13.58,26.6,615.293
2.29,-4.07,33.31,23.9897
27.48,-33.9,-33.6,-965.172
-13.03,14.84,-0.41,-193.77519999999998
44.87,43.06,-6.85,1925.2522000000001
-12.25,-35.88,-34.17,405.36
47.89,-10.85,29.22,-490.38649999999996
19.29,-29.34,-46.02,-611.9885999999999
45.71,43.9,-17.17,1989.4989999999998
5.29,-24.79,-8.59,-139.7291
-39.89,-29.06,3.74,1162.9433999999999
12.69,-46.65,10.63,-581.3584999999999
-36.36,-39.38,43.12,1474.9768
4.5,22.12,44.71,144.25
31.3,-30.3,-29.1,-977.4900000000001
-35.94,41.35,19.75,-1466.369
-46.26,-33.59,4.44,1558.3134000000002
0.39,42.74,-43.34,-26.671400000000002
-16.12,-22.28,-26.49,332.66360000000003
-0.76,49.01,-12.84,-50.087599999999995
2.38,20.32,6.08,54.441599999999994
-37.87,-25.39,-19.11,942.4092999999999
22.65,-6.43,-33.76,-179.3995
34.41,17.29,27.85,622.7988999999999
-39.44,46.23,-24.4,-1847.7112
-22.16,-23.08,-25.8,485.65279999999996
-18.94,16.06,-25.99,-330.1664
25.28,-47.49,18.09,-1182.4572000000003
-45.56,-43.67,-33.91,1955.6952
44.47,-22.26,36.72,-953.1822
-40.22,-42.26,3.74,1703.4371999999998
-27.23,-44.76,29.66,1248.4748
-7.69,7.75,-27.6,-87.1975
37.99,43.23,-17.03,1625.2777
-9.52,-40.85,0.06,388.952
34.09,-1.66,34.95,-21.639400000000002
48.89,18.95,-27.9,898.5655
35.04,-30.41,18.21,-1047.3564
34.86,-4.18,-35.19,-180.9048
-18.7,-40.1,48.79,798.66
-1.95,-15.2,-24.75,4.889999999999997
30.99,6.1,14.25,203.289
-30.61,-1.35,49.27,90.5935
10.49,-0.59,4.45,-1.7390999999999996
30.51,20.72,33.38,665.5472
-45.98,44.22,16.68,-2016.5555999999997
-39.02,-27.0,14.32,1067.8600000000001
-3.13,-35.7,49.22,160.961
-31.84,-46.08,-0.93,1466.2571999999998
-48.89,11.28,23.51,-527.9692
12.18,0.87,21.78,32.3766
-10.86,-44.72,49.89,535.5491999999999
12.93,15.2,-26.47,170.06599999999997
42.68,0.96,1.75,42.7228
-16.89,1.01,48.8,31.741099999999996
-12.1,7.5,16.62,-74.13
21.23,28.68,-24.47,584.4064
3.09,-20.98,40.7,-24.128199999999993
2.5,17.41,32.53,76.055
15.87,-32.89,-5.89,-527.8543
30.65,13.32,28.9,437.15799999999996
-14.34,41.42,26.91,-567.0528
3.1,-18.86,12.13,-46.336
16.79,-42.26,-19.52,-729.0654
42.38,32.61,-39.65,1342.3618
6.62,29.89,38.88,236.7518
35.52,-40.69,-13.74,-1459.0488
48.32,-49.37,15.85,-2369.7084
48.98,5.5,-37.31,232.07999999999998
-30.61,3.14,-22.58,-118.6954
48.88,23.57,44.38,1196.4816
23.91,25.06,-13.1,586.0845999999999
19.03,43.87,-30.26,804.5861
-4.0,16.48,42.37,-23.550000000000004
28.82,-18.72,45.41,-494.10040000000004
7.79,24.27,-45.06,144.0033
-26.41,26.15,-22.07,-712.6915
16.38,48.3,10.6,801.7539999999999
-6.62,-9.8,5.72,70.596
36.88,44.98,1.24,1660.1024
-16.65,30.35,7.06,-498.2675
-40.14,29.7,26.46,-1165.6979999999999
-28.3,25.13,41.45,-669.7289999999999
45.12,-16.35,-8.18,-745.8919999999999
12.67,-41.38,13.38,-510.9046000000001
6.33,7.98,-42.99,7.523400000000002
45.71,-23.05,41.55,-1012.0655000000002
-36.92,36.17,9.87,-1325.5264000000002
4.53,8.8,-16.28,23.584000000000003
-43.16,1.24,-43.35,-96.8684
-43.4,-6.29,-28.48,244.506
-36.51,-47.12,-32.13,1688.2211999999997
-37.57,32.83,-42.36,-1275.7830999999999
-11.0,-24.28,19.11,286.19000000000005
-20.17,30.78,2.7,-618.1326
47.98,-11.44,-40.73,-589.6211999999999
5.04,-40.51,46.41,-157.7604
-39.72,-3.5,-18.94,120.07999999999998
8.89,46.94,-43.41,373.88660000000004
45.69,-30.56,46.4,-1349.8863999999999
-25.74,-2.33,16.82,76.79419999999999
30.59,21.16,27.28,674.5644
-30.79,48.04,-43.86,-1523.0115999999998
-45.61,39.76,-46.08,-1859.5335999999998
-16.86,20.18,-40.88,-381.1148
-10.37,31.71,-27.35,-356.1827
-12.81,-42.68,38.12,584.8508
-28.32,-9.83,48.7,327.0856
-3.04,22.98,-26.51,-96.3692
-35.32,-35.28,14.81,1260.8996
-0.71,-41.29,-37.5,-8.1841
38.95,-37.8,17.18,-1455.1299999999999
3.39,-47.34,32.43,-128.0526
-46.78,-39.31,40.61,1879.5318
11.8,-44.4,-14.26,-538.18
-9.99,-38.14,-43.22,337.79859999999996
-16.97,1.61,-8.03,-35.3517
-27.33,-23.22,-7.11,627.4925999999999
-2.86,-44.36,-37.83,89.0396
35.66,47.26,-21.84,1663.4515999999999
43.12,-0.52,-40.34,-62.7624
37.98,-19.79,-32.81,-784.4341999999999
43.98,-37.02,-6.75,-1634.8896
-2.47,-42.01,-21.96,81.8047
-2.8,1.33,-32.98,-36.70399999999999
27.45,13.2,-14.8,347.53999999999996
36.75,-16.05,34.24,-555.5975
31.44,19.94,28.52,655.4336000000001
28.35,10.79,-29.56,276.3365
6.14,-13.41,-15.18,-97.51740000000001
24.57,-9.89,20.44,-222.55730000000003
-48.18,-33.99,-48.19,1589.4482
-29.69,-42.96,-30.18,1245.3024
11.93,1.56,43.42,62.0308
-34.87,-30.92,-5.19,1072.9904
44.41,34.05,26.68,1538.8404999999998
-18.0,-6.72,-11.49,109.47
23.1,-22.96,34.43,-495.9460000000001
16.0,44.42,-25.61,685.11
35.78,8.34,8.41,306.8152
13.31,9.83,-32.55,98.2873
-48.35,49.23,-17.63,-2397.9005
3.81,-12.39,8.7,-38.5059
-15.76,-45.84,-32.89,689.5484
26.26,31.7,10.48,842.922
3.85,-37.28,-18.49,-162.01800000000003
10.32,-44.98,16.17,-448.0236
36.79,36.85,-37.32,1318.3915000000002
-0.93,31.65,13.93,-15.5045
-13.43,18.56,-35.51,-284.7708
18.03,27.05,37.2,524.9115
-33.45,20.86,-30.19,-727.9570000000001
28.07,18.06,-32.69,474.25419999999997
-39.65,24.03,2.23,-950.5595
0.47,6.8,31.24,34.436
-37.88,44.46,-43.65,-1727.7948000000004
-49.39,15.3,-42.88,-798.547
31.11,40.79,-18.18,1250.7968999999998
-9.25,3.19,10.03,-19.4775
4.3,-0.02,-8.56,-8.646
-47.22,10.24,-17.74,-501.2728
41.62,38.47,-1.72,1599.4013999999997
1.04,40.14,-34.55,7.195600000000006
-45.21,-13.91,-31.29,597.5811000000001
36.58,17.11,-29.28,596.6038
-1.49,5.9,-22.99,-31.781
25.34,15.45,-3.34,388.163
41.84,2.33,-5.31,92.17720000000001
27.54,20.28,35.27,593.7812
23.84,-43.71,44.04,-998.0064
-26.39,-11.07,46.87,339.00730000000004
2.39,34.73,47.09,130.0947
32.94,3.51,32.85,148.46939999999998
-24.1,47.2,31.22,-1106.3000000000002
2.6,28.1,-2.75,70.31
-3.79,-20.87,-15.04,64.0573
9.93,-10.66,-12.8,-118.65379999999999
-45.99,-36.46,18.59,1695.3854000000001
0.68,-31.29,-6.17,-27.447200000000002
41.29,-22.07,-26.38,-937.6503
23.43,-49.23,22.91,-1130.5488999999998
36.39,-34.4,6.87,-1244.9460000000001
30.27,-3.54,-36.31,-143.4658
-2.04,12.61,40.97,15.2456
-24.56,15.63,-17.78,-401.65279999999996
-39.7,49.65,-47.52,-2018.625
-8.97,-3.92,-1.83,33.33240000000001
-0.27,-17.91,8.91,13.7457
-18.9,-24.15,-24.66,431.7749999999999
-40.0,-28.22,13.93,1142.73
-23.8,-9.42,42.15,266.346
2.32,-37.52,-37.53,-124.5764
-49.54,-48.75,5.61,2420.685
-37.23,34.92,-13.86,-1313.9316
-47.3,-6.32,-23.23,275.70599999999996
8.69,43.37,15.97,392.8553
-28.9,16.39,-6.96,-480.631
-34.84,49.19,6.72,-1707.0596
-35.81,37.56,19.9,-1325.1236000000001
-2.6,-2.19,-47.17,-41.476
-45.41,7.02,-11.51,-330.28819999999996
-43.61,28.13,-34.53,-1261.2793
-49.96,21.93,30.81,-1064.8128000000002
34.74,-34.32,-24.61,-1216.8868
-8.94,33.68,-49.31,-350.4092
-24.51,46.95,-28.96,-1179.7045000000003
7.54,7.84,46.56,105.6736
11.57,5.73,27.02,93.3161
35.37,-43.27,-22.38,-1552.8399000000002
25.56,-17.7,-34.12,-486.532
19.63,23.13,-1.45,452.59189999999995
-7.46,-7.4,14.64,69.844
43.1,48.29,29.13,2110.429
-35.33,49.11,-40.63,-1775.6863
-12.44,44.19,28.38,-521.3435999999999
45.27,12.71,-4.47,570.9117
20.37,-21.24,-19.71,-452.36879999999996
17.94,2.74,14.89,64.04560000000001
35.36,-6.25,35.16,-185.84
-46.77,-37.92,19.6,1793.1184
-11.08,9.77,14.06,-94.1916
-45.17,43.37,-15.36,-1974.3828999999998
-28.44,-48.08,8.21,1375.6052
21.28,25.64,16.44,562.0592000000001
-47.56,-37.55,23.67,1809.548
-48.96,33.28,-22.08,-1651.4688
-6.7,-14.45,12.91,109.725
36.78,49.33,-43.52,1770.8374000000001
25.32,9.6,23.46,266.532
39.38,19.12,45.52,798.4656000000001
-37.12,38.35,11.58,-1411.972
31.03,-0.27,19.62,11.2419
-38.17,-45.58,4.71,1744.4986000000001
6.63,-38.44,5.91,-248.94719999999998
10.83,49.74,-34.77,503.91420000000005
-14.99,17.0,-15.92,-270.75
10.62,-8.84,49.93,-43.950799999999994
2.49,-35.25,-35.06,-122.83250000000001
44.26,-36.89,-39.36,-1672.1113999999998
-22.29,45.16,-39.36,-1045.9763999999998
-30.77,-49.58,-10.98,1514.5965999999999
33.13,0.64,-29.19,-7.986799999999999
21.83,-7.79,-35.54,-205.5957
12.09,-2.59,-0.76,-32.0731
-45.7,-11.16,-26.83,483.1820000000001
3.0,-24.01,5.88,-66.15
8.48,-3.15,13.55,-13.161999999999999
48.02,-43.24,38.54,-2037.8448000000003
22.16,30.14,-23.67,644.2324000000001
-47.98,-18.4,-15.83,867.0019999999998
-26.33,25.04,-25.3,-684.6031999999999
-43.23,36.48,48.85,-1528.1803999999997
-21.75,-32.34,-19.51,683.8850000000001
47.47,8.34,3.41,399.3098
45.23,19.99,-18.38,885.7676999999999
4.33,38.86,5.2,173.4638
-40.57,-2.41,-33.88,63.8937
34.32,-16.7,-28.65,-601.794
-19.72,-20.88,11.11,422.86359999999996
-29.83,33.54,34.55,-965.9481999999999
15.1,-29.03,-18.92,-457.273
26.38,-26.79,28.52,-678.2002
20.41,2.93,-21.65,38.151300000000006
8.37,-4.98,41.52,-0.16259999999999764
46.96,40.22,-17.7,1871.0312
-39.2,32.65,-23.46,-1303.3400000000001
7.03,1.21,3.8,12.3063
-3.28,7.38,-13.93,-38.136399999999995
-18.4,-22.8,26.57,446.09
36.56,24.19,45.61,929.9964000000001
30.16,48.0,-15.84,1431.8400000000001
-12.89,21.27,-24.07,-298.2403
-23.09,-34.14,-17.82,770.4725999999999
-18.66,36.52,-18.12,-699.5832
40.0,25.36,28.24,1042.6399999999999
-31.97,13.89,-33.83,-477.8933
8.54,-6.82,-16.93,-75.1728
40.69,24.62,-33.01,968.7778
47.39,15.17,19.28,738.1863
-22.03,-4.27,-8.63,85.4381
-21.2,-4.79,-38.54,63.008
30.68,-32.24,-37.86,-1026.9832
-13.13,33.55,15.62,-424.8915
1.08,21.56,-29.77,-6.485199999999999
-27.14,-20.83,16.06,581.3861999999999
4.97,-31.3,-26.31,-181.871
-6.03,-5.48,-36.88,-3.8355999999999995
43.76,-23.55,-44.63,-1075.178
-19.05,-3.84,-21.0,52.152
-16.55,43.08,37.63,-675.344
-43.7,7.39,-32.25,-355.193
14.13,-14.64,-36.25,-243.1132
40.62,28.6,-16.82,1144.912
36.11,-2.97,-41.09,-148.3367
12.14,32.88,-16.97,382.19320000000005
29.6,-48.44,16.6,-1417.2240000000002
-22.18,21.54,20.28,-457.4771999999999
-8.2,-7.26,11.05,70.582
-10.8,29.76,14.57,-306.838
-40.9,-45.59,-28.02,1836.611
-2.71,-29.19,-31.58,47.5249
0.32,16.88,4.08,9.4816
-9.92,18.06,-36.21,-215.3652
-14.96,47.72,-9.43,-723.3212
-27.01,-36.89,16.26,1012.6589
27.26,43.36,-41.28,1140.7136
34.0,0.37,46.14,58.72
-43.01,-23.82,31.64,1056.1382
-47.93,-45.43,4.02,2181.4799
16.36,-8.05,9.43,-122.268
-6.28,12.74,-18.68,-98.68719999999999
13.14,-16.75,-41.6,-261.695
25.82,20.77,34.89,571.1714
-46.95,-41.23,-5.94,1929.8084999999999
23.13,1.15,-42.82,-16.220500000000005
4.91,-22.38,-25.98,-135.8658
-5.21,-39.48,-17.27,188.42079999999999
-2.03,30.43,-23.68,-85.4529
-44.56,34.66,48.6,-1495.8496
3.64,27.69,-23.46,77.33160000000001
2.85,-43.13,8.02,-114.90050000000001
-3.17,-47.75,43.17,194.53750000000002
25.79,-3.16,-22.05,-103.54639999999999
-13.44,19.21,-3.45,-261.6324
-1.31,-48.83,36.89,100.85730000000001
43.64,20.23,2.78,885.6172
-23.59,-34.79,-22.28,798.4161
11.91,-44.27,34.26,-492.99570000000006
-28.96,48.54,-9.33,-1415.0484
-42.35,30.48,11.89,-1278.9379999999999
31.15,-18.5,-8.24,-584.515
-44.95,-45.24,-41.31,1992.2280000000003
-30.55,-36.7,15.13,1136.3150000000003
-44.37,9.5,-46.09,-467.605
-19.57,30.59,-47.49,-646.1363
24.85,-9.4,6.93,-226.66000000000003
15.96,-2.08,-36.76,-69.9568
1.9,8.09,42.57,57.941
48.77,-22.58,-15.95,-1117.1766
47.85,-40.32,27.29,-1902.0220000000002
-23.17,-20.19,10.31,478.11230000000006
42.05,-26.87,40.16,-1089.7234999999998
-21.4,-11.97,-22.25,233.90800000000002
17.08,-14.02,-36.31,-275.7716
0.62,6.53,-32.91,-28.861399999999996
36.83,-2.64,25.62,-71.6112
49.82,-16.24,-13.26,-822.3367999999999
-13.81,39.1,-37.97,-577.941
10.53,-41.76,-36.09,-475.8227999999999
-22.43,18.22,33.41,-375.2646
23.98,12.42,38.16,335.99159999999995
48.53,-45.71,-29.56,-2247.8663
7.45,-20.03,-32.26,-181.4835
25.45,2.69,31.36,99.8205
6.72,-45.13,-24.92,-328.1936
-48.81,20.22,7.17,-979.7682
-46.89,-29.86,-22.03,1378.1054
-7.37,29.64,-33.66,-252.1068
-18.3,-31.33,40.45,613.789
45.2,-23.36,24.73,-1031.142
30.89,-44.76,29.1,-1353.5364
49.69,48.99,-27.87,2406.4431
-1.31,1.22,-28.89,-30.4882
16.53,45.76,-6.05,750.3628000000001
40.21,-43.92,-2.75,-1768.7732
-18.73,-35.45,11.16,675.1385
-47.45,-38.96,22.68,1871.332
37.49,10.73,-45.49,356.77770000000004
-10.38,6.37,-6.29,-72.41060000000002
-45.09,42.84,-13.97,-1945.6256000000003
40.32,1.37,-8.29,46.94840000000001
3.66,47.03,12.93,185.05980000000002
5.91,36.04,39.6,252.5964
-32.81,-23.2,-9.43,751.7620000000001
42.91,-21.76,-2.34,-936.0616
-45.68,-31.59,-23.32,1419.7112
35.27,22.37,47.15,836.1399000000001
49.85,-20.93,40.44,-1002.9205
-49.81,-2.63,-45.65,85.3503
14.88,-37.44,-28.56,-585.6672
-7.05,49.49,-37.91,-386.81449999999995
-6.83,5.03,-9.14,-43.4949
-12.26,24.66,0.18,-302.1516
-11.07,-12.52,-5.86,132.73639999999997
-12.79,33.15,-46.76,-470.7484999999999
32.92,-27.95,-14.18,-934.294
49.45,-48.35,46.98,-2343.9275000000002
38.65,39.21,31.7,1547.1665
34.24,8.88,-40.24,263.81120000000004
38.82,-15.16,-32.98,-621.4912
46.69,24.66,26.06,1177.4353999999998
12.44,-31.22,45.61,-342.76679999999993
-40.99,-48.32,-45.0,1935.6368000000002
-3.4,41.95,34.69,-107.94
-5.72,27.1,16.8,-138.212
45.65,43.93,-24.17,1981.2344999999998
14.31,13.2,5.84,194.732
-46.43,33.47,-23.51,-1577.5221
-23.11,-34.92,-20.72,786.2812
-33.06,-32.83,-2.77,1082.5898
-15.87,9.82,48.61,-107.2334
-29.53,-32.47,46.37,1005.2091
-0.23,-10.8,27.5,29.984
41.74,-15.31,38.64,-600.3994
48.76,38.28,-23.43,1843.1028
-31.61,37.36,-37.0,-1217.9496
36.24,7.2,39.65,300.578
-0.49,-3.45,-19.68,-17.9895
-18.86,-35.73,-12.88,660.9877999999999
11.12,46.11,-9.06,503.6832
6.06,-33.75,-38.43,-242.95499999999998
-14.45,-2.16,-34.27,-3.0580000000000034
-4.9,-35.98,-43.32,132.982
-30.95,-6.35,13.5,210.03249999999997
-27.72,2.71,-20.49,-95.6112
4.75,25.14,-3.72,115.69500000000001
42.84,-42.84,37.18,-1798.0856000000003
9.75,-47.56,-5.34,-469.05
-12.34,-49.97,10.99,627.6197999999999
38.81,41.27,33.16,1634.8487000000002
-29.15,26.2,-5.15,-768.8799999999999
-41.57,-34.82,13.55,1461.0174
35.71,39.4,40.76,1447.734
48.29,9.69,-9.83,458.1001
42.54,-49.42,-38.55,-2140.8768
-33.13,-3.68,40.12,162.03840000000002
31.42,-5.28,41.88,-124.01760000000002
-36.67,-29.09,39.18,1105.9103
28.64,-15.01,-41.64,-471.52639999999997
-20.84,-25.15,23.57,547.696
38.05,-46.63,35.35,-1738.9215000000002
44.73,7.83,34.63,384.86589999999995
-32.46,10.43,35.75,-302.8078
7.6,-25.29,11.84,-180.36399999999998
2.61,5.06,-45.55,-32.3434
-27.59,-43.99,-47.94,1165.7441
-16.52,10.41,14.89,-157.08319999999998
-38.0,12.15,-16.88,-478.58
34.61,16.3,18.95,583.0930000000001
10.28,13.31,11.79,148.61679999999998
-0.66,-13.24,20.71,29.4484
40.46,-9.43,49.94,-331.5978
29.98,34.77,-33.89,1008.5146000000001
-8.82,42.89,5.89,-372.3998
11.52,-40.86,-17.56,-488.2672
10.83,47.37,-5.26,507.75710000000004
47.69,2.39,-24.74,89.23910000000001
-6.23,-10.27,26.09,90.0721
31.73,-21.93,-47.81,-743.6488999999999
1.02,16.06,19.95,36.331199999999995
-21.36,47.01,-22.09,-1026.2235999999998
33.54,34.63,-17.14,1144.3501999999999
-18.59,-39.09,11.06,737.7431
-21.33,7.04,-46.72,-196.8832
6.89,11.09,31.2,107.6101
11.32,-3.62,5.38,-35.5984
-44.83,-11.51,-6.48,509.51329999999996
29.27,28.7,-33.59,806.459
-14.9,8.99,-32.59,-166.541
-25.26,29.6,-20.06,-767.756
23.27,-39.79,-47.42,-973.3332999999999
-17.42,-15.98,23.98,302.3516000000001
44.73,-10.42,-12.37,-478.4566
-24.7,-25.0,-48.68,568.82
-30.35,28.77,-8.35,-881.5195000000001
-6.09,-21.78,-47.55,85.0902
-29.95,15.48,-42.79,-506.416
24.91,-5.12,-34.58,-162.1192
-3.24,-30.28,5.31,103.41720000000001
-7.82,42.37,31.45,-299.8834
-39.7,-37.84,3.15,1505.3980000000004
-37.9,-0.37,39.28,53.303
15.6,-2.85,-22.03,-66.49000000000001
-8.46,0.35,-44.13,-47.091
12.32,-14.95,-4.95,-189.134
-27.8,-36.45,46.46,1059.77
-5.88,20.94,-33.06,-156.18720000000002
-32.48,12.4,-34.45,-437.20199999999994
8.84,-38.1,7.81,-328.994
8.54,14.36,27.75,150.38439999999997
-27.75,36.65,-9.04,-1026.0774999999999
-40.69,-10.73,8.95,445.5537
-38.4,15.66,10.32,-591.0239999999999
48.02,-23.65,26.32,-1109.353
-42.89,-32.8,22.43,1429.222
-9.64,18.44,-12.15,-189.91160000000002
14.93,14.35,23.8,238.0455
29.01,-45.12,-15.64,-1324.5712
46.38,-47.14,-23.13,-2209.4832
-19.78,-42.27,25.28,861.3806000000001
-33.87,42.28,-29.56,-1461.5836
3.94,-24.94,-13.73,-111.9936
-23.4,-13.63,13.11,332.052
-43.3,-43.34,27.19,1903.8120000000001
46.06,-36.37,16.35,-1658.8522
1.98,15.25,-20.12,10.075
-21.61,1.77,-17.55,-55.7997
-49.01,45.4,-12.99,-2238.0439999999994
32.17,-43.08,-1.84,-1387.7236
1.93,35.82,15.29,84.42259999999999
17.69,-18.77,34.38,-297.66130000000004
38.45,-17.09,20.71,-636.4005
40.33,-23.44,41.53,-903.8052
-17.12,-20.59,-39.11,313.3908
30.08,-15.37,11.71,-450.6196
-43.79,-26.22,43.83,1192.0038
10.9,35.78,41.09,431.092
21.45,32.29,-3.22,689.4005
-49.05,35.45,-15.97,-1754.7925
-45.56,28.86,25.46,-1289.4016
30.38,1.29,-46.92,-7.7298000000000044
42.48,-9.02,15.24,-367.92959999999994
22.94,-33.86,36.26,-740.4884000000001
-4.3,11.08,-40.39,-88.03399999999999
-33.94,29.81,-48.49,-1060.2413999999999
6.67,-24.12,18.6,-142.28040000000001
-22.06,-35.87,-11.04,780.2521999999999
-13.2,-10.3,23.05,159.01000000000002
-13.06,13.25,25.85,-147.19500000000002
47.12,29.68,-22.64,1375.8815999999997
-21.04,-36.18,-12.04,749.1872
18.27,-28.18,-14.97,-529.8186000000001
-25.13,-35.78,-10.68,888.4714
42.69,31.81,1.78,1359.7488999999998
5.58,-24.77,-9.8,-148.0166
48.76,-38.09,37.39,-1819.8784
8.4,13.0,0.19,109.39
-41.75,-41.02,-45.17,1667.415
-14.83,-40.19,-14.11,581.9077
22.35,-21.59,-45.04,-527.5765
-41.01,-24.69,-11.07,1001.4669
1.23,1.53,-24.86,-22.978099999999998
-34.56,-48.98,33.5,1726.2488
-23.98,-36.69,-19.24,860.5862
-29.07,-26.53,40.81,812.0371
29.2,36.09,-42.74,1011.088
13.29,-8.61,35.64,-78.78689999999999
-41.62,30.57,18.1,-1254.2234
-3.86,11.84,-15.65,-61.352399999999996
47.35,-46.26,35.52,-2154.891
23.03,40.08,-30.45,892.5924
33.67,-4.48,-14.74,-165.58160000000004
41.96,-34.82,-32.68,-1493.7272
-23.25,-3.18,-35.74,38.195
-40.33,10.27,2.1,-412.0890999999999
34.29,11.13,-48.4,333.24770000000007
24.67,29.25,-37.32,684.2775
46.48,47.01,-43.28,2141.7447999999995
-29.04,-34.96,-1.06,1014.1784
